"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2021-03-04","2425.2","2507.09","2422.5","2506.68","0.00","6058104316.76"
"NEPSE","2021-03-03","2449.23","2453.67","2391.14","2416.01","0.00","6254809441.78"
"NEPSE","2021-03-02","2523.45","2529.64","2437.25","2455.33","0.00","6119638669"
"NEPSE","2021-03-01","2488.33","2524.4","2442.6","2515.03","0.00","5692316831"
"NEPSE","2021-02-28","2557.79","2559.43","2474.39","2474.39","0.00","8355289814"
"NEPSE","2021-02-25","2622.7","2622.77","2547.84","2554.13","0.00","6098188414"
"NEPSE","2021-02-24","2600.32","2620.45","2498.58","2599.07","0.00","6701872439"
"NEPSE","2021-02-23","2627.33","2627.33","2519.41","2586.51","0.00","8561539426"
"NEPSE","2021-02-22","2665.86","2676.16","2603.05","2607.67","--","8406310671"
"NEPSE","2021-02-21","2667.27","2667.59","2619.58","2640.34","0.00","8834603967"
"NEPSE","2021-02-18","2634.47","2642.47","2619.17","2636.68","0.00","8762146785"
"NEPSE","2021-02-17","2619.8","2623.64","2596.19","2611.45","0.00","8035510844"
"NEPSE","2021-02-16","2615.36","2631.37","2584.14","2601.51","0.00","10035454955"
"NEPSE","2021-02-15","2517.46","2586.01","2538.22","2586.01","0.00","10384197669"
"NEPSE","2021-02-14","2536.47","2536.47","2482.24","2493.59","0.00","6927668931"
"NEPSE","2021-02-11","2552.33","2565.13","2524.81","2526.92","0.00","8411732003"
"NEPSE","2021-02-10","2544.8","2547.76","2511.03","2543.03","0.00","7649411398"
"NEPSE","2021-02-09","2562.43","2585.15","2524.44","2532.46","0.00","8146269193"
"NEPSE","2021-02-08","2553.78","2563.29","2538.83","2561.47","0.00","10619163869"
"NEPSE","2021-02-07","2486.79","2524","2486.79","2524","0.00","10441951304"
"NEPSE","2021-02-04","2479.6","2481.59","2443.68","2475.26","0.00","7615071093"
"NEPSE","2021-02-03","2490.53","2519.85","2457.99","2466.92","0.00","9531716496"
"NEPSE","2021-02-02","2434.48","2473.73","2429.9","2473.73","0.00","8593472987"
